8116 4 4
8.0E-5 1.84E-4 8.0E-5 3.7E-4
1.84E-4 2.0E-4 1.55E-4 2.0E-4
1.84E-4 2.0E-4 1.55E-4 2.0E-4
1.8E-4 1.5001E-4 1.5001E-4 2.1E-4
1.8E-4 1.5001E-4 1.5001E-4 2.1E-4
1.68E-4 1.9E-4 1.68E-4 2.4E-4
1.68E-4 1.9E-4 1.68E-4 2.4E-4
2.0E-4 1.6101E-4 1.6101E-4 2.2E-4
2.0E-4 1.6101E-4 1.6101E-4 2.2E-4
1.89E-4 1.97E-4 1.7E-4 2.099E-4
1.89E-4 1.97E-4 1.7E-4 2.099E-4
1.76E-4 1.83E-4 1.59E-4 1.9E-4
1.76E-4 1.83E-4 1.59E-4 1.9E-4
1.6E-4 1.97E-4 1.5001E-4 1.99E-4
1.6E-4 1.97E-4 1.5001E-4 1.99E-4
1.97E-4 2.0E-4 1.65E-4 2.0E-4
1.97E-4 2.0E-4 1.65E-4 2.0E-4
1.7E-4 1.7E-4 1.7E-4 1.95E-4
1.7E-4 1.7E-4 1.7E-4 1.95E-4
1.78E-4 2.5E-4 1.78E-4 3.2E-4
1.78E-4 2.5E-4 1.78E-4 3.2E-4
2.5E-4 3.96E-4 1.84E-4 3.96E-4
2.5E-4 3.96E-4 1.84E-4 3.96E-4
2.8E-4 3.0E-4 2.8E-4 3.96E-4
2.8E-4 3.0E-4 2.8E-4 3.96E-4
2.81E-4 3.9E-4 2.5E-4 4.0E-4
2.81E-4 3.9E-4 2.5E-4 4.0E-4
4.0E-4 3.79E-4 3.1E-4 4.0E-4
4.0E-4 3.79E-4 3.1E-4 4.0E-4
3.2E-4 3.8E-4 3.2E-4 3.8E-4
3.2E-4 3.8E-4 3.2E-4 3.8E-4
3.4E-4 3.45E-4 3.4E-4 3.8E-4
3.4E-4 3.45E-4 3.4E-4 3.8E-4
3.45E-4 2.52E-4 2.52E-4 4.4E-4
3.45E-4 2.52E-4 2.52E-4 4.4E-4
2.52E-4 3.5E-4 2.52E-4 4.0E-4
2.52E-4 3.5E-4 2.52E-4 4.0E-4
3.5E-4 3.699E-4 1.5E-4 3.7E-4
3.5E-4 3.699E-4 1.5E-4 3.7E-4
3.697E-4 4.45E-4 3.69E-4 4.7E-4
3.697E-4 4.45E-4 3.69E-4 4.7E-4
4.45E-4 4.5E-4 3.9E-4 5.199E-4
4.45E-4 4.5E-4 3.9E-4 5.199E-4
4.7E-4 4.5E-4 4.204E-4 5.0E-4
4.7E-4 4.5E-4 4.204E-4 5.0E-4
4.4E-4 5.897E-4 4.204E-4 5.99E-4
4.4E-4 5.897E-4 4.204E-4 5.99E-4
4.49E-4 4.49E-4 4.49E-4 4.49E-4
4.49E-4 4.49E-4 4.49E-4 4.49E-4
5.49E-4 5.2E-4 4.75E-4 5.49E-4
5.49E-4 5.2E-4 4.75E-4 5.49E-4
5.42E-4 4.221E-4 4.221E-4 5.98E-4
5.42E-4 4.221E-4 4.221E-4 5.98E-4
4.501E-4 5.221E-4 4.501E-4 5.221E-4
4.501E-4 5.221E-4 4.501E-4 5.221E-4
5.77E-4 5.11E-4 4.93E-4 5.8E-4
5.77E-4 5.11E-4 4.93E-4 5.8E-4
5.101E-4 4.65E-4 4.65E-4 5.8E-4
5.101E-4 4.65E-4 4.65E-4 5.8E-4
5.0E-4 4.65E-4 4.65E-4 5.7E-4
5.0E-4 4.65E-4 4.65E-4 5.7E-4
5.24E-4 5.24E-4 5.24E-4 5.24E-4
5.24E-4 5.24E-4 5.24E-4 5.24E-4
4.76E-4 4.7E-4 4.7E-4 4.76E-4
4.76E-4 4.7E-4 4.7E-4 4.76E-4
4.8106E-4 4.8106E-4 4.8106E-4 4.8106E-4
4.8106E-4 4.8106E-4 4.8106E-4 4.8106E-4
4.8201E-4 4.811E-4 4.811E-4 4.8201E-4
4.8201E-4 4.811E-4 4.811E-4 4.8201E-4
4.811E-4 4.81E-4 3.6E-4 5.07E-4
4.811E-4 4.81E-4 3.6E-4 5.07E-4
4.4E-4 3.1E-4 2.03E-4 4.4E-4
4.4E-4 3.1E-4 2.03E-4 4.4E-4
3.0E-4 2.85E-4 2.85E-4 3.98E-4
3.0E-4 2.85E-4 2.85E-4 3.98E-4
3.26E-4 3.999E-4 3.26E-4 4.0E-4
3.26E-4 3.999E-4 3.26E-4 4.0E-4
3.999E-4 3.4E-4 3.332E-4 4.49E-4
3.999E-4 3.4E-4 3.332E-4 4.49E-4
4.15E-4 4.35E-4 3.401E-4 4.9E-4
4.15E-4 4.35E-4 3.401E-4 4.9E-4
4.75E-4 4.1E-4 4.07E-4 5.65E-4
4.75E-4 4.1E-4 4.07E-4 5.65E-4
4.5E-4 5.65E-4 4.5E-4 5.67E-4
4.5E-4 5.65E-4 4.5E-4 5.67E-4
5.01E-4 5.2E-4 4.21E-4 5.4E-4
5.01E-4 5.2E-4 4.21E-4 5.4E-4
5.199E-4 3.453E-4 3.41E-4 5.67E-4
5.199E-4 3.453E-4 3.41E-4 5.67E-4
3.552E-4 4.75E-4 3.55E-4 4.9E-4
3.552E-4 4.75E-4 3.55E-4 4.9E-4
3.75E-4 4.44E-4 3.75E-4 4.87E-4
3.75E-4 4.44E-4 3.75E-4 4.87E-4
4.44E-4 4.45E-4 3.91E-4 5.05E-4
4.44E-4 4.45E-4 3.91E-4 5.05E-4
4.92E-4 4.92E-4 4.45E-4 5.67E-4
4.92E-4 4.92E-4 4.45E-4 5.67E-4
5.661E-4 5.65E-4 4.8E-4 5.96E-4
5.661E-4 5.65E-4 4.8E-4 5.96E-4
5.94E-4 6.0E-4 4.742E-4 6.0E-4
5.94E-4 6.0E-4 4.742E-4 6.0E-4
6.0E-4 5.105E-4 4.81E-4 6.0E-4
6.0E-4 5.105E-4 4.81E-4 6.0E-4
5.105E-4 6.0E-4 5.105E-4 6.0E-4
5.105E-4 6.0E-4 5.105E-4 6.0E-4
5.97E-4 6.1E-4 5.8E-4 6.4E-4
5.97E-4 6.1E-4 5.8E-4 6.4E-4
