8240 4 4
0.028 0.0285 0.028 0.029
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0283 0.0283 0.0283 0.0283
0.0285 0.029 0.0285 0.029
0.0285 0.029 0.0285 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.01 0.01 0.01 0.01
0.01 0.01 0.01 0.01
0.01 0.01 0.01 0.01
0.01 0.01 0.01 0.01
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.011 0.0285 0.011 0.0285
0.011 0.0285 0.011 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.0285 0.0285 0.0285 0.0285
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.0181 0.0181 0.0181 0.0181
0.0181 0.0181 0.0181 0.0181
0.027 0.027 0.027 0.027
0.027 0.027 0.027 0.027
0.027 0.027 0.027 0.027
0.027 0.027 0.027 0.027
0.0262 0.0262 0.0262 0.0262
0.0262 0.0262 0.0262 0.0262
0.0262 0.0262 0.0262 0.0262
0.0262 0.0262 0.0262 0.0262
0.026 0.026 0.026 0.026
0.026 0.026 0.026 0.026
0.0197 0.0197 0.0197 0.0197
0.0197 0.0197 0.0197 0.0197
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.029 0.029 0.029 0.029
0.022 0.022 0.022 0.022
0.022 0.022 0.022 0.022
0.03 0.03 0.03 0.03
0.03 0.03 0.03 0.03
0.03 0.03 0.03 0.03
0.03 0.03 0.03 0.03
0.025 0.03 0.025 0.03
0.025 0.03 0.025 0.03
0.025 0.029 0.023 0.029
0.025 0.029 0.023 0.029
0.0289 0.0289 0.0289 0.0289
0.0289 0.0289 0.0289 0.0289
0.0289 0.0289 0.0289 0.0289
0.0289 0.0289 0.0289 0.0289
0.0289 0.0289 0.0289 0.0289
0.0289 0.0289 0.0289 0.0289
0.0231 0.0231 0.0231 0.0231
0.0231 0.0231 0.0231 0.0231
0.0231 0.0231 0.0231 0.0231
