2153 4 4
0.33 29.0 2.048 0.33
27.0 19.5 15.5 60.0
27.0 19.5 15.5 60.0
18.4 9.29998 8.206324 22.8
18.4 9.29998 8.206324 22.8
9.013 5.65 5.51 15.610002
9.013 5.65 5.51 15.610002
5.65 8.1481 5.350011 11.05
5.65 8.1481 5.350011 11.05
8.1481 8.147098 6.0 8.9
8.1481 8.147098 6.0 8.9
8.061 5.52 4.9901643 8.13
8.061 5.52 4.9901643 8.13
5.55 2.8500001 2.763769 5.8
5.55 2.8500001 2.763769 5.8
2.8200002 1.975 1.97 2.9200003
2.8200002 1.975 1.97 2.9200003
1.976 1.32 1.1513313 2.2
1.976 1.32 1.1513313 2.2
1.32 1.3065002 1.115 1.777
1.32 1.3065002 1.115 1.777
1.3431648 1.07 1.04 1.36
1.3431648 1.07 1.04 1.36
1.07 0.8213 0.8028779 1.163999
1.07 0.8213 0.8028779 1.163999
0.8213001 0.8019 0.71000004 0.98
0.8213001 0.8019 0.71000004 0.98
0.800002 0.7 0.64 0.88286793
0.800002 0.7 0.64 0.88286793
0.7 0.69499993 0.678001 0.76987624
0.7 0.69499993 0.678001 0.76987624
0.6780013 0.7808844 0.6780012 0.82934797
0.6780013 0.7808844 0.6780012 0.82934797
0.7700014 0.73 0.6780012 0.83
0.7700014 0.73 0.6780012 0.83
0.73 1.57684 0.702 1.8375
0.73 1.57684 0.702 1.8375
1.56 2.3 1.56 3.58
1.56 2.3 1.56 3.58
2.3 2.310777 1.5979851 2.37
2.3 2.310777 1.5979851 2.37
2.310777 2.011 1.83 2.54
2.310777 2.011 1.83 2.54
2.02 2.6 1.95 2.82
2.02 2.6 1.95 2.82
2.586 2.240395 2.15 2.7200043
2.586 2.240395 2.15 2.7200043
2.2404 2.0875 2.025 2.29999
2.2404 2.0875 2.025 2.29999
2.0657911 1.82 1.8 2.1042
2.0657911 1.82 1.8 2.1042
1.82 1.4686729 1.35 1.86
1.82 1.4686729 1.35 1.86
1.4686729 1.46 1.31 1.742
1.4686729 1.46 1.31 1.742
1.46 1.515 1.44 1.6992447
1.46 1.515 1.44 1.6992447
1.52 1.230005 1.18999 1.55232
1.52 1.230005 1.18999 1.55232
1.22102 1.620005 1.18 2.1
1.22102 1.620005 1.18 2.1
1.6205 1.255 1.255 1.6620135
1.6205 1.255 1.255 1.6620135
1.255 1.298995 1.2351102 1.4021589
1.255 1.298995 1.2351102 1.4021589
1.2855101 1.4122 1.21999 1.4122
1.2855101 1.4122 1.21999 1.4122
1.41001 1.247605 1.2304713 1.414005
1.41001 1.247605 1.2304713 1.414005
1.246605 1.33 1.24 1.51001
1.246605 1.33 1.24 1.51001
1.33 1.285262 1.26 1.52
1.33 1.285262 1.26 1.52
1.2852521 1.299 1.2590046 1.3183005
1.2852521 1.299 1.2590046 1.3183005
1.29 1.160015 1.151005 1.2900001
1.29 1.160015 1.151005 1.2900001
1.160015 1.10021 1.0338 1.1956811
1.160015 1.10021 1.0338 1.1956811
1.10022 0.989 0.97 1.1314652
1.10022 0.989 0.97 1.1314652
0.989 0.972197 0.91761 1.0695
0.989 0.972197 0.91761 1.0695
0.9728 0.938002 0.938 1.0021102
0.9728 0.938002 0.938 1.0021102
0.938002 0.8597 0.85072947 0.94
0.938002 0.8597 0.85072947 0.94
0.856 0.78010005 0.7801 0.8630891
0.856 0.78010005 0.7801 0.8630891
0.78010005 0.7385186 0.735 0.84
0.78010005 0.7385186 0.735 0.84
0.7385186 0.76482224 0.71 0.795
0.7385186 0.76482224 0.71 0.795
0.76482224 0.8 0.7301 0.9206653
0.76482224 0.8 0.7301 0.9206653
0.8 0.740004 0.72920275 0.82
0.8 0.740004 0.72920275 0.82
0.740004 0.7123 0.712 0.757
0.740004 0.7123 0.712 0.757
0.7123 0.661005 0.650001 0.7178
0.7123 0.661005 0.650001 0.7178
0.661005 0.68151 0.65048 0.70115423
0.661005 0.68151 0.65048 0.70115423
0.68151 0.61 0.602 0.68912345
0.68151 0.61 0.602 0.68912345
0.61 0.53 0.511 0.61
0.61 0.53 0.511 0.61
0.53000003 0.555 0.523 0.63663805
0.53000003 0.555 0.523 0.63663805
0.555 0.450727 0.4445555 0.5552615
0.555 0.450727 0.4445555 0.5552615
0.4508 0.45999998 0.44 0.49019998
0.4508 0.45999998 0.44 0.49019998
0.45999998 0.39164194 0.38474998 0.472
0.45999998 0.39164194 0.38474998 0.472
0.39000392 0.39005 0.3788 0.4216214
0.39000392 0.39005 0.3788 0.4216214
0.39009732 0.41091 0.390035 0.451
0.39009732 0.41091 0.390035 0.451
0.41092 0.38211602 0.3501 0.41735017
0.41092 0.38211602 0.3501 0.41735017
0.38211602 0.33510336 0.335 0.3897119
0.38211602 0.33510336 0.335 0.3897119
0.339 0.315605 0.3 0.339
0.339 0.315605 0.3 0.339
0.315674 0.32 0.301 0.3290005
0.315674 0.32 0.301 0.3290005
0.32000473 0.28543112 0.2830003 0.338973
0.32000473 0.28543112 0.2830003 0.338973
0.28543112 0.2619 0.25307125 0.294878
0.28543112 0.2619 0.25307125 0.294878
0.2619 0.275 0.2516675 0.291
0.2619 0.275 0.2516675 0.291
0.275 0.4366 0.2710212 0.45056424
0.275 0.4366 0.2710212 0.45056424
0.440395 0.36000004 0.33118775 0.581
0.440395 0.36000004 0.33118775 0.581
0.36000726 0.336472 0.3 0.375787
0.36000726 0.336472 0.3 0.375787
0.335 0.335941 0.31779364 0.36
0.335 0.335941 0.31779364 0.36
0.335941 0.382 0.3354 0.44986576
0.335941 0.382 0.3354 0.44986576
0.3821751 0.3639999 0.33 0.3821751
0.3821751 0.3639999 0.33 0.3821751
0.362275 0.35509998 0.345 0.39113444
0.362275 0.35509998 0.345 0.39113444
0.353618 0.32067028 0.31455 0.3563437
0.353618 0.32067028 0.31455 0.3563437
0.31705087 0.318305 0.31400564 0.3295
0.31705087 0.318305 0.31400564 0.3295
0.31831 0.32288 0.31575763 0.328
0.31831 0.32288 0.31575763 0.328
0.32288 0.347432 0.3190021 0.34987655
0.32288 0.347432 0.3190021 0.34987655
0.347432 0.32387808 0.3153559 0.3507
0.347432 0.32387808 0.3153559 0.3507
0.32387808 0.31403 0.314 0.3299
0.32387808 0.31403 0.314 0.3299
0.31403 0.288894 0.2858644 0.3173126
0.31403 0.288894 0.2858644 0.3173126
0.288894 0.271415 0.27120003 0.291394
0.288894 0.271415 0.27120003 0.291394
0.271415 0.2759 0.271415 0.3
0.271415 0.2759 0.271415 0.3
0.27507 0.2821 0.27160004 0.2895
0.27507 0.2821 0.27160004 0.2895
0.2819 0.273005 0.27170002 0.28360003
0.2819 0.273005 0.27170002 0.28360003
0.273 0.253995 0.25102502 0.273699
0.273 0.253995 0.25102502 0.273699
0.2532177 0.2498117 0.2498117 0.27
0.2532177 0.2498117 0.2498117 0.27
0.2498117 0.23487301 0.23355916 0.24996258
0.2498117 0.23487301 0.23355916 0.24996258
0.234878 0.22601005 0.21838333 0.23826648
0.234878 0.22601005 0.21838333 0.23826648
0.22601 0.21744 0.2122407 0.2279
0.22601 0.21744 0.2122407 0.2279
0.21802981 0.2157 0.21220002 0.225
0.21802981 0.2157 0.21220002 0.225
0.2157 0.20118 0.20118 0.21705301
0.2157 0.20118 0.20118 0.21705301
0.20118 0.1952092 0.19 0.220359
0.20118 0.1952092 0.19 0.220359
0.19520399 0.18144 0.1801 0.19600001
0.19520399 0.18144 0.1801 0.19600001
0.18144 0.17150588 0.171101 0.187285
0.18144 0.17150588 0.171101 0.187285
0.1716 0.17181905 0.1716 0.18134014
0.1716 0.17181905 0.1716 0.18134014
0.17181905 0.1772 0.17143 0.21
0.17181905 0.1772 0.17143 0.21
0.1772 0.166211 0.165 0.18500002
0.1772 0.166211 0.165 0.18500002
0.166196 0.153338 0.153338 0.17021333
0.166196 0.153338 0.153338 0.17021333
0.153338 0.14400104 0.14193483 0.15422899
0.153338 0.14400104 0.14193483 0.15422899
0.14400041 0.146199 0.13516545 0.149675
0.14400041 0.146199 0.13516545 0.149675
0.14620902 0.15334001 0.13792983 0.16588499
0.14620902 0.15334001 0.13792983 0.16588499
0.15334001 0.158022 0.142 0.17098765
0.15334001 0.158022 0.142 0.17098765
0.158022 0.15087897 0.146235 0.16383953
0.158022 0.15087897 0.146235 0.16383953
0.150036 0.13759 0.135894 0.1512751
0.150036 0.13759 0.135894 0.1512751
0.1368475 0.14087543 0.13683689 0.155767
0.1368475 0.14087543 0.13683689 0.155767
0.14087543 0.15511501 0.14087543 0.16298765
0.14087543 0.15511501 0.14087543 0.16298765
0.15521 0.171359 0.151 0.186
0.15521 0.171359 0.151 0.186
0.171863 0.17831 0.16772223 0.18645418
0.171863 0.17831 0.16772223 0.18645418
0.17831 0.154 0.15300012 0.179165
0.17831 0.154 0.15300012 0.179165
0.1539999 0.152361 0.14828902 0.15772222
0.1539999 0.152361 0.14828902 0.15772222
0.152361 0.1534 0.15146 0.16399898
0.152361 0.1534 0.15146 0.16399898
0.153305 0.152505 0.1452 0.15732598
0.153305 0.152505 0.1452 0.15732598
0.152505 0.144449 0.1375 0.15329199
0.152505 0.144449 0.1375 0.15329199
0.144449 0.1358 0.13131313 0.14733417
0.144449 0.1358 0.13131313 0.14733417
0.13509502 0.12867 0.12777777 0.13766025
0.13509502 0.12867 0.12777777 0.13766025
0.128705 0.128502 0.12758948 0.13394052
0.128705 0.128502 0.12758948 0.13394052
0.128487 0.123895 0.12222222 0.129883
0.128487 0.123895 0.12222222 0.129883
0.123411 0.12642801 0.1223 0.1285
0.123411 0.12642801 0.1223 0.1285
0.12643301 0.123105 0.1231 0.1288
0.12643301 0.123105 0.1231 0.1288
0.123105 0.11660002 0.11610001 0.12481999
0.123105 0.11660002 0.11610001 0.12481999
0.11663654 0.11698214 0.113674 0.12
0.11663654 0.11698214 0.113674 0.12
